Jaramana,Syria,2.99,10.0,4.04,1.0,2.0,0.94,0.73,0.41,0.75,0.75,1.46,1.48,3.97,2.66,7.27,0.45,0.9,0.2,0.52,0.2,0.25,0.2,0.51,3.0,0.92,1.05,1.91,nan,nan,0.6,1.59,3.0,0.5,26000.0,33666.67,13.21,0.01,50.67,7.0,3.0,2.36,22.5,816.73,18.33,14.33,57.5,53.27,nan,nan,nan,nan,nan,nan,30.0,11.38,0
Sancti Spiritus,Cuba,7.0,25.0,5.0,3.0,2.0,nan,1.0,0.75,nan,nan,1.0,2.4,4.0,5.0,10.0,3.0,0.5,0.5,1.0,2.0,2.0,nan,1.0,13.0,nan,2.0,2.0,nan,nan,1.0,1.0,nan,2.0,50000.0,70000.0,30.0,nan,nan,nan,nan,nan,nan,nan,25.0,15.0,40.0,30.0,nan,nan,nan,nan,nan,nan,20.0,nan,0
Latakia,Syria,2.99,10.0,4.04,1.0,2.0,0.94,0.73,0.41,0.75,0.75,1.46,1.48,3.97,2.66,7.27,0.45,0.9,0.2,0.52,0.2,0.25,0.2,0.51,3.0,0.92,1.05,1.91,0.1,14.23,0.6,1.59,3.0,0.5,26000.0,33666.67,13.21,0.01,50.67,10.97,2.0,2.36,22.5,816.73,18.33,14.33,57.5,53.27,147.5,76.78,253.75,187.5,755.0,316.67,41.25,11.38,0
Uyo,Nigeria,1.13,nan,4.5,nan,0.68,nan,0.3,0.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45,nan,nan,0.45,3.38,nan,nan,nan,nan,nan,nan,nan,nan,0.36,nan,nan,11.26,0.03,33.77,nan,nan,3.38,nan,nan,nan,nan,nan,nan,675.42,450.28,1125.7,675.42,nan,nan,50.66,nan,0
Tamale,Ghana,1.79,4.29,4.11,0.43,0.36,0.45,0.33,0.17,nan,nan,nan,0.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7142.86,nan,nan,nan,nan,nan,nan,nan,nan,461.31,461.31,56.43,nan,0
Aleppo,Syria,4.0,17.96,4.0,1.65,3.05,0.87,0.8,0.33,0.74,0.47,1.46,2.3,4.92,4.85,7.91,0.83,1.9,0.38,0.71,0.82,0.47,0.3,0.7,2.39,0.7,1.99,2.5,0.1,nan,1.0,0.52,5.97,1.0,31847.13,47770.7,20.0,0.01,49.33,24.26,7.97,3.0,49.84,4497.7,17.98,5.0,150.0,42.96,132.34,74.0,262.68,186.18,875.0,475.0,72.8,13.75,0
Warri,Nigeria,1.13,11.26,9.01,0.56,0.68,2.25,0.55,0.38,2.48,0.51,4.5,2.48,nan,2.7,3.49,3.94,1.49,1.13,1.13,0.99,2.25,nan,0.45,6.53,0.62,0.79,0.45,0.23,nan,0.45,0.23,nan,0.35,nan,nan,27.02,0.05,nan,28.14,nan,9.01,182.36,675.42,13.51,45.03,33.77,101.31,585.36,326.45,1913.68,900.56,202.63,1013.13,75.42,nan,0
Dhangadhi,Nepal,1.15,nan,nan,2.31,3.69,nan,0.38,0.19,0.54,0.31,0.62,1.38,4.61,2.31,nan,0.77,0.77,0.38,0.62,0.46,0.62,nan,0.19,nan,nan,nan,1.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04,12.15,7.69,nan,2.31,15.38,nan,11.53,11.53,13.84,15.38,38.44,23.07,nan,nan,nan,nan,76.89,nan,0
Narayanganj,Bangladesh,1.71,9.27,3.9,3.12,4.88,2.19,0.25,0.15,0.75,0.32,0.41,0.82,4.39,2.68,4.06,1.27,0.46,1.15,0.29,0.2,0.62,0.29,0.23,1.95,2.19,2.93,2.93,0.42,0.0,0.39,0.2,nan,0.84,39017.69,17557.96,29.26,0.01,48.77,13.17,2.93,4.88,24.39,1170.53,17.07,9.75,24.39,24.39,146.32,97.54,243.86,170.7,524.98,nan,78.04,9.12,0
Sri Jayewardenepura Kotte,Sri Lanka,1.08,6.78,4.34,0.95,1.08,0.99,0.27,0.21,0.91,0.41,0.56,1.15,6.07,2.54,4.72,1.8,0.6,1.75,0.63,0.81,0.66,0.68,0.34,6.78,1.09,1.3,4.34,0.08,2.44,0.27,0.2,0.46,0.78,36610.46,26847.67,40.68,0.01,16.27,8.59,2.71,2.44,14.92,903.96,26.1,8.59,48.81,62.37,77.97,33.45,267.8,89.49,nan,nan,81.36,13.5,0
